UnitNumber,Time,Setting1,Setting2,Setting3,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Binary-Classification,ma-5-Sensor2,sd-5-Sensor2
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,554.36,2388.06,9046.19,1.30,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.00,39.06,23.4190,0,0.0,0.0
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.30,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.00,39.00,23.4236,0,0.0,0.0
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.20,14.62,21.61,554.26,2388.08,9052.94,1.30,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.00,38.95,23.3442,0,0.0,0.0
1,4,0.0007,0.0000,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.30,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.00,38.88,23.3739,0,0.0,0.0
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.00,2388.06,9055.15,1.30,47.28,522.19,2388.04,8133.80,8.4294,0.03,393,2388,100.00,38.90,23.4044,0,642.208,0.2099904759744966
1,6,-0.0043,-0.0001,100.0,518.67,642.10,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.30,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.00,38.98,23.3669,0,642.2639999999999,0.11482160075526426
1,7,0.0010,0.0001,100.0,518.67,642.48,1592.32,1397.77,14.62,21.61,554.34,2388.02,9059.13,1.30,47.36,522.32,2388.03,8132.32,8.3974,0.03,392,2388,100.00,39.10,23.3774,0,642.33,0.12473972903609915
1,8,-0.0034,0.0003,100.0,518.67,642.56,1582.96,1400.97,14.62,21.61,553.85,2388.00,9040.80,1.30,47.24,522.47,2388.03,8131.07,8.4076,0.03,391,2388,100.00,38.97,23.3106,0,642.3720000000001,0.1558717421471705
1,9,0.0008,0.0001,100.0,518.67,642.12,1590.98,1394.80,14.62,21.61,553.69,2388.05,9046.46,1.30,47.29,521.79,2388.05,8125.69,8.3728,0.03,392,2388,100.00,39.05,23.4066,0,642.326,0.1865046916299793
1,10,-0.0033,0.0001,100.0,518.67,641.71,1591.24,1400.46,14.62,21.61,553.59,2388.05,9051.70,1.30,47.03,521.79,2388.06,8129.38,8.4286,0.03,393,2388,100.00,38.95,23.4694,0,642.194,0.3047359512758317
1,11,0.0018,-0.0003,100.0,518.67,642.28,1581.75,1400.64,14.62,21.61,554.54,2388.05,9049.61,1.30,47.15,521.40,2388.01,8140.58,8.4340,0.03,392,2388,100.00,38.94,23.4787,0,642.2299999999999,0.3021258016124844
1,12,0.0016,0.0002,100.0,518.67,642.06,1583.41,1400.15,14.62,21.61,554.52,2388.09,9049.37,1.30,47.18,521.80,2388.02,8134.25,8.3938,0.03,391,2388,100.00,39.06,23.3660,0,642.146,0.27839540226085807
1,13,-0.0019,0.0004,100.0,518.67,643.07,1582.19,1400.83,14.62,21.61,553.44,2388.12,9046.82,1.30,47.38,521.85,2388.08,8128.10,8.4152,0.03,393,2388,100.00,38.93,23.2757,0,642.248,0.4511939715909468
1,14,0.0009,-0.0000,100.0,518.67,642.35,1592.95,1399.16,14.62,21.61,554.48,2388.09,9047.37,1.30,47.44,521.67,2388.00,8134.43,8.3964,0.03,393,2388,100.00,39.18,23.3826,0,642.294,0.4475086591341142
1,15,-0.0018,-0.0003,100.0,518.67,642.43,1583.82,1402.13,14.62,21.61,553.64,2388.11,9052.22,1.30,47.30,522.50,2388.08,8127.56,8.4199,0.03,391,2388,100.00,38.99,23.3500,0,642.4379999999999,0.33914008904879117
1,16,0.0006,0.0005,100.0,518.67,642.13,1587.98,1404.50,14.62,21.61,553.94,2388.05,9049.34,1.30,47.24,521.49,2388.07,8136.11,8.3936,0.03,392,2388,100.00,38.97,23.4550,0,642.408,0.35790501533230906
1,17,0.0002,0.0002,100.0,518.67,642.58,1584.96,1399.95,14.62,21.61,553.80,2388.06,9054.92,1.30,47.12,521.89,2388.04,8137.27,8.4542,0.03,392,2388,100.00,38.81,23.3319,0,642.512,0.31460451363579184
1,18,-0.0031,-0.0001,100.0,518.67,642.62,1591.04,1396.12,14.62,21.61,554.20,2388.05,9049.55,1.30,47.21,521.76,2388.07,8132.73,8.4028,0.03,392,2388,100.00,38.89,23.3987,0,642.4219999999999,0.1758863269273728
1,19,0.0032,-0.0003,100.0,518.67,641.79,1587.56,1400.35,14.62,21.61,554.18,2388.04,9053.99,1.30,47.40,521.89,2388.03,8129.13,8.4321,0.03,391,2388,100.00,38.80,23.3464,0,642.31,0.311833288793885
1,20,-0.0037,0.0001,100.0,518.67,643.04,1581.11,1405.23,14.62,21.61,554.81,2388.05,9045.90,1.30,47.22,522.07,2388.02,8129.71,8.4210,0.03,392,2388,100.00,39.03,23.4220,0,642.432,0.4313420916163919
1,21,-0.0012,0.0001,100.0,518.67,642.37,1586.07,1398.13,14.62,21.61,554.08,2388.11,9048.15,1.30,47.15,522.42,2388.08,8134.02,8.4049,0.03,392,2388,100.00,39.09,23.3101,0,642.4799999999999,0.4077744474584002
1,22,0.0002,0.0000,100.0,518.67,642.77,1592.93,1400.57,14.62,21.61,553.63,2388.04,9061.21,1.30,47.24,522.00,2388.03,8130.41,8.4034,0.03,392,2388,100.00,38.92,23.3792,0,642.5179999999999,0.42385846694386214
1,23,0.0034,-0.0003,100.0,518.67,642.14,1588.19,1394.75,14.62,21.61,553.98,2388.05,9046.28,1.30,47.25,521.52,2388.05,8127.90,8.4240,0.03,392,2388,100.00,38.94,23.4562,0,642.4219999999999,0.44377471762145165
1,24,-0.0010,0.0003,100.0,518.67,642.38,1590.83,1398.81,14.62,21.61,553.49,2388.12,9043.76,1.30,47.44,522.13,2388.03,8133.88,8.3891,0.03,392,2388,100.00,39.00,23.3696,0,642.54,0.32168307384752653
1,25,0.0023,-0.0004,100.0,518.67,642.77,1594.10,1399.39,14.62,21.61,554.00,2388.02,9054.16,1.30,47.36,522.56,2388.02,8136.61,8.3917,0.03,393,2388,100.00,38.95,23.4288,0,642.486,0.24727312834191614
1,26,0.0000,0.0002,100.0,518.67,642.16,1589.08,1396.07,14.62,21.61,554.11,2388.07,9047.11,1.30,47.26,522.28,2388.06,8131.15,8.4260,0.03,394,2388,100.00,38.86,23.4149,0,642.444,0.2791845267918705
1,27,-0.0012,-0.0004,100.0,518.67,642.44,1590.47,1401.84,14.62,21.61,554.07,2388.02,9047.96,1.30,47.37,522.00,2388.13,8134.60,8.4046,0.03,393,2388,100.00,38.99,23.4472,0,642.3779999999999,0.2287706274852665
1,28,-0.0024,0.0005,100.0,518.67,642.35,1582.84,1399.13,14.62,21.61,554.68,2388.12,9049.84,1.30,47.41,522.57,2388.08,8127.30,8.4323,0.03,390,2388,100.00,39.01,23.2841,0,642.42,0.19849433241279368
1,29,0.0012,-0.0001,100.0,518.67,641.91,1584.83,1400.99,14.62,21.61,554.25,2388.05,9050.47,1.30,47.24,522.41,2388.06,8133.06,8.4189,0.03,393,2388,100.00,38.93,23.3597,0,642.3259999999999,0.2868170148369983
1,30,-0.0022,0.0000,100.0,518.67,642.20,1593.52,1396.08,14.62,21.61,554.37,2388.07,9045.62,1.30,47.40,522.19,2388.00,8137.86,8.4065,0.03,390,2388,100.00,39.05,23.4110,0,642.2119999999999,0.18170305445977106
1,31,0.0014,0.0005,100.0,518.67,642.02,1584.18,1396.90,14.62,21.61,554.13,2388.08,9058.78,1.30,47.41,521.95,2388.06,8125.28,8.4104,0.03,392,2388,100.00,38.94,23.3353,0,642.184,0.1976461484573177
1,32,0.0005,-0.0003,100.0,518.67,642.33,1591.38,1400.36,14.62,21.61,554.96,2388.04,9050.97,1.30,47.25,521.92,2388.07,8129.70,8.4148,0.03,392,2388,100.00,39.02,23.4999,0,642.162,0.1724412943584262
1,33,-0.0042,-0.0004,100.0,518.67,642.71,1588.40,1402.43,14.62,21.61,554.61,2388.04,9047.13,1.30,47.28,521.91,2388.08,8134.42,8.3753,0.03,392,2388,100.00,38.83,23.3506,0,642.234,0.2784672332609594
1,34,0.0015,-0.0001,100.0,518.67,642.54,1581.47,1400.48,14.62,21.61,554.30,2388.03,9046.46,1.30,47.47,521.70,2388.09,8126.61,8.4349,0.03,392,2388,100.00,38.81,23.3092,0,642.36,0.243721152139082
1,35,0.0003,0.0002,100.0,518.67,642.44,1590.00,1403.00,14.62,21.61,554.30,2388.04,9045.76,1.30,47.31,521.75,2388.01,8140.17,8.4430,0.03,391,2388,100.00,39.13,23.4164,0,642.408,0.23077261535980548
1,36,-0.0004,-0.0002,100.0,518.67,642.54,1581.72,1405.54,14.62,21.61,554.53,2388.01,9044.56,1.30,47.25,522.32,2388.04,8132.48,8.4246,0.03,392,2388,100.00,38.86,23.4308,0,642.512,0.12576167937809002
1,37,-0.0004,-0.0000,100.0,518.67,641.99,1579.11,1398.90,14.62,21.61,554.63,2388.07,9055.44,1.30,47.29,522.29,2388.04,8131.95,8.4142,0.03,392,2388,100.00,38.99,23.4352,0,642.4440000000001,0.24303086223769882
1,38,-0.0018,-0.0002,100.0,518.67,641.93,1589.60,1399.50,14.62,21.61,554.70,2388.08,9055.27,1.30,47.27,522.42,2388.08,8136.61,8.4158,0.03,392,2388,100.00,39.06,23.4768,0,642.288,0.2709538706126968
1,39,-0.0030,-0.0001,100.0,518.67,642.01,1583.21,1400.69,14.62,21.61,553.97,2388.02,9051.76,1.30,47.12,522.23,2388.05,8131.81,8.4140,0.03,392,2388,100.00,38.70,23.3699,0,642.182,0.25482543044210754
1,40,-0.0000,-0.0004,100.0,518.67,642.24,1582.08,1401.77,14.62,21.61,554.57,2388.06,9052.98,1.30,47.33,521.84,2388.01,8131.03,8.3784,0.03,392,2388,100.00,38.84,23.3769,0,642.142,0.2251577224969171
1,41,0.0033,0.0004,100.0,518.67,642.40,1591.31,1403.21,14.62,21.61,553.72,2388.06,9048.99,1.30,47.09,522.07,2388.03,8138.08,8.4370,0.03,392,2388,100.00,39.13,23.4444,0,642.114,0.17760630619435075
1,42,0.0005,-0.0004,100.0,518.67,642.12,1584.66,1401.38,14.62,21.61,553.94,2388.08,9057.06,1.30,47.49,522.23,2388.05,8130.88,8.4137,0.03,392,2388,100.00,39.00,23.3750,0,642.14,0.16673332000533858
1,43,-0.0027,0.0005,100.0,518.67,642.24,1591.52,1406.05,14.62,21.61,553.68,2388.03,9057.88,1.30,47.32,522.74,2388.09,8127.22,8.4068,0.03,392,2388,100.00,38.99,23.3148,0,642.202,0.13090454537562485
1,44,-0.0001,0.0002,100.0,518.67,641.93,1586.94,1401.20,14.62,21.61,554.15,2388.04,9046.87,1.30,47.45,522.30,2388.00,8131.45,8.4201,0.03,392,2388,100.00,39.06,23.4753,0,642.1859999999999,0.15589740215925169
